show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s92,TV Show,Title_92,Director_450,"Actor_846, Actor_829, Actor_188, Actor_733",United States,"July 14, 2013",2000,TV-PG,8 Seasons,"Stand-Up Comedy, Sci-Fi & Fantasy",Description for Title_92
s93,TV Show,Title_93,Director_497,,Argentina,"October 13, 2012",1967,TV-MA,1 Seasons,"Action & Adventure, Sci-Fi & Fantasy, Documentaries",Description for Title_93
s94,Movie,Title_94,Director_232,Actor_259,India,"January 15, 2017",1963,TV-14,166 min,Reality TV,Description for Title_94
s95,TV Show,Title_95,,,Thailand,"March 29, 2014",1981,PG,7 Seasons,Children & Family Movies,Description for Title_95
s96,Movie,Title_96,Director_240,,Australia,"July 20, 2010",1952,TV-14,89 min,"Horror Movies, Reality TV",Description for Title_96
s97,Movie,Title_97,Director_474,Actor_921,Mexico,"April 09, 2013",1950,TV-14,86 min,"Anime Series, Crime TV Shows",Description for Title_97
s98,Movie,Title_98,Director_316,"Actor_14, Actor_128, Actor_591, Actor_532, Actor_49",France,"January 26, 2010",1953,TV-14,131 min,Comedies,Description for Title_98
s99,Movie,Title_99,Director_369,"Actor_73, Actor_53, Actor_218",France,"November 20, 2010",1967,TV-Y,166 min,Dramas,Description for Title_99
s100,Movie,Title_100,Director_23,"Actor_384, Actor_263, Actor_611, Actor_535, Actor_831",France,"October 05, 2018",1979,R,87 min,Thrillers,Description for Title_100
s101,Movie,Title_101,Director_378,"Actor_738, Actor_986",France,"June 17, 2020",1944,TV-MA,176 min,"Anime Series, Horror Movies, Docuseries",Description for Title_101
s102,Movie,Title_102,,"Actor_310, Actor_979, Actor_807, Actor_232, Actor_11",Canada,"December 03, 2019",1956,TV-Y,61 min,Dramas,Description for Title_102
s103,Movie,Title_103,,"Actor_798, Actor_65, Actor_139, Actor_73, Actor_692",Nigeria,"May 23, 2020",1988,PG,79 min,"Romantic Movies, Documentaries, Thrillers",Description for Title_103
s104,Movie,Title_104,Director_324,"Actor_526, Actor_206, Actor_448, Actor_521, Actor_816",Spain,"June 15, 2017",1946,PG-13,134 min,"Stand-Up Comedy, International Movies, Dramas",Description for Title_104
s105,TV Show,Title_105,,"Actor_958, Actor_474",Australia,"November 21, 2014",1995,TV-14,8 Seasons,"Anime Series, Action & Adventure, Romantic Movies",Description for Title_105
s106,Movie,Title_106,Director_466,"Actor_469, Actor_698, Actor_677",Turkey,"May 18, 2013",1965,PG-13,103 min,Crime TV Shows,Description for Title_106
s107,Movie,Title_107,,"Actor_833, Actor_497, Actor_996",United States,"October 08, 2009",1952,TV-14,80 min,"Action & Adventure, Anime Series",Description for Title_107
s108,TV Show,Title_108,Director_287,"Actor_403, Actor_464",United States,"June 08, 2020",1974,PG-13,6 Seasons,Thrillers,Description for Title_108
s109,Movie,Title_109,,"Actor_987, Actor_613, Actor_559",United Kingdom,"October 01, 2015",2015,TV-Y,117 min,"Comedies, Reality TV, Thrillers",Description for Title_109
s110,Movie,Title_110,Director_298,"Actor_99, Actor_737, Actor_507",United Kingdom,"July 13, 2008",1998,TV-Y,165 min,"International Movies, Reality TV, Anime Series",Description for Title_110
s111,Movie,Title_111,Director_420,"Actor_580, Actor_113, Actor_230, Actor_760",Germany,"February 19, 2011",1993,TV-14,166 min,"Docuseries, Stand-Up Comedy, Thrillers",Description for Title_111
s112,Movie,Title_112,Director_163,"Actor_950, Actor_14, Actor_556, Actor_284, Actor_206",India,"November 14, 2014",2005,PG,70 min,Sci-Fi & Fantasy,Description for Title_112
s113,TV Show,Title_113,Director_282,Actor_84,Canada,"October 01, 2019",1984,TV-MA,2 Seasons,"Docuseries, Anime Series, Stand-Up Comedy",Description for Title_113
s114,TV Show,Title_114,,"Actor_726, Actor_57, Actor_73, Actor_961, Actor_645",United Kingdom,"September 14, 2013",1985,TV-MA,9 Seasons,Anime Series,Description for Title_114
s115,Movie,Title_115,Director_166,Actor_466,United States,"December 23, 2020",1977,TV-PG,177 min,Stand-Up Comedy,Description for Title_115
s116,TV Show,Title_116,Director_230,"Actor_792, Actor_712, Actor_753, Actor_139",France,"March 06, 2017",1953,R,4 Seasons,"Romantic Movies, Crime TV Shows",Description for Title_116
s117,TV Show,Title_117,,"Actor_865, Actor_78",Germany,"November 17, 2008",1997,TV-MA,3 Season,Docuseries,Description for Title_117
s118,Movie,Title_118,Director_416,,United States,"April 06, 2014",1944,TV-14,103 min,Anime Series,Description for Title_118
s119,TV Show,Title_119,Director_179,"Actor_11, Actor_341",Canada,"July 28, 2016",1991,TV-MA,8 Seasons,"Docuseries, Thrillers, International Movies",Description for Title_119
s120,Movie,Title_120,Director_310,,Canada,"December 28, 2020",1970,TV-PG,125 min,"Comedies, Reality TV, Documentaries",Description for Title_120
s121,TV Show,Title_121,Director_365,"Actor_638, Actor_206, Actor_741, Actor_563",United States,"August 29, 2012",2018,PG,1 Season,"Dramas, Docuseries",Description for Title_121
s122,TV Show,Title_122,Director_196,"Actor_790, Actor_263",United States,"January 21, 2014",1957,PG-13,4 Seasons,Stand-Up Comedy,Description for Title_122
s123,Movie,Title_123,Director_166,"Actor_920, Actor_819, Actor_842, Actor_147",Nigeria,"April 10, 2010",1981,TV-14,113 min,"Reality TV, Thrillers, Sci-Fi & Fantasy",Description for Title_123
s124,Movie,Title_124,Director_488,"Actor_900, Actor_48, Actor_486, Actor_370, Actor_830",India,"July 07, 2008",1968,UR,70 min,"Action & Adventure, Documentaries",Description for Title_124
s125,Movie,Title_125,,"Actor_484, Actor_554, Actor_556, Actor_961",United States,"February 04, 2019",2011,R,82 min,"Horror Movies, Documentaries",Description for Title_125
s126,Movie,Title_126,Director_271,"Actor_47, Actor_980",United States,"April 01, 2008",1983,PG,60 min,"Documentaries, Children & Family Movies, Crime TV Shows",Description for Title_126
s127,TV Show,Title_127,Director_283,"Actor_993, Actor_324, Actor_168",Japan,"August 13, 2018",1998,R,2 Seasons,"Docuseries, Thrillers",Description for Title_127
s128,TV Show,Title_128,Director_374,"Actor_390, Actor_113",France,"March 26, 2013",1951,NR,9 Seasons,Action & Adventure,Description for Title_128
s129,Movie,Title_129,Director_111,"Actor_501, Actor_215, Actor_633",Japan,"May 25, 2014",1979,PG,97 min,Docuseries,Description for Title_129
s130,Movie,Title_130,Director_47,,United States,"April 29, 2012",1949,TV-PG,61 min,Romantic Movies,Description for Title_130
s131,Movie,Title_131,Director_293,"Actor_645, Actor_745, Actor_365",Taiwan,"November 09, 2011",1959,TV-14,104 min,"Dramas, Children & Family Movies, Thrillers",Description for Title_131
s132,Movie,Title_132,Director_388,"Actor_583, Actor_705, Actor_893, Actor_741",India,"June 23, 2008",1958,R,86 min,"Children & Family Movies, Anime Series",Description for Title_132
s133,Movie,Title_133,Director_240,"Actor_840, Actor_49",United States,"April 18, 2009",1999,TV-PG,157 min,Comedies,Description for Title_133
s134,Movie,Title_134,Director_341,"Actor_356, Actor_783, Actor_210",India,"May 25, 2017",2007,R,136 min,"Romantic Movies, Horror Movies",Description for Title_134
s135,TV Show,Title_135,Director_182,"Actor_305, Actor_847, Actor_929, Actor_690",India,"September 26, 2008",1985,TV-14,2 Seasons,Reality TV,Description for Title_135
s136,Movie,Title_136,Director_421,"Actor_874, Actor_483, Actor_974, Actor_187, Actor_126",Brazil,"August 06, 2013",2015,TV-14,88 min,"International Movies, Sci-Fi & Fantasy, Romantic Movies",Description for Title_136
s137,Movie,Title_137,,"Actor_793, Actor_896, Actor_526, Actor_121, Actor_830",Thailand,"September 30, 2016",1950,TV-PG,84 min,"Dramas, Horror Movies, Children & Family Movies",Description for Title_137
s138,TV Show,Title_138,Director_470,"Actor_254, Actor_416, Actor_623, Actor_828",United States,"November 24, 2009",1989,PG,6 Seasons,"Horror Movies, Comedies",Description for Title_138
s139,Movie,Title_139,Director_289,,Brazil,"March 29, 2020",1980,PG-13,161 min,"Anime Series, Thrillers",Description for Title_139
s140,TV Show,Title_140,Director_114,"Actor_260, Actor_444",Australia,"November 16, 2011",1947,TV-MA,9 Seasons,"Horror Movies, Sci-Fi & Fantasy, Anime Series",Description for Title_140
s141,TV Show,Title_141,Director_478,,Argentina,"September 14, 2013",1971,TV-MA,1 Seasons,"Documentaries, Thrillers, Romantic Movies",Description for Title_141
s142,Movie,Title_142,Director_307,"Actor_250, Actor_860",United States,"May 20, 2011",2015,TV-MA,175 min,Horror Movies,Description for Title_142
s143,Movie,Title_143,Director_29,Actor_883,Canada,"November 11, 2018",1959,TV-MA,116 min,Children & Family Movies,Description for Title_143
s144,Movie,Title_144,Director_466,"Actor_919, Actor_37, Actor_949",United States,"May 25, 2013",1984,TV-MA,65 min,"Romantic Movies, Thrillers",Description for Title_144
s145,Movie,Title_145,Director_2,"Actor_535, Actor_299, Actor_711, Actor_322, Actor_59",Germany,"May 13, 2008",1974,PG-13,106 min,"International Movies, Anime Series",Description for Title_145
s146,Movie,Title_146,Director_475,"Actor_448, Actor_768",United States,"December 22, 2015",1994,TV-Y7,122 min,"Anime Series, Romantic Movies",Description for Title_146
s147,Movie,Title_147,Director_25,"Actor_743, Actor_535",Canada,"September 28, 2021",1997,TV-14,108 min,"Documentaries, Anime Series",Description for Title_147
s148,Movie,Title_148,Director_236,Actor_855,United States,"February 06, 2021",1960,TV-PG,81 min,Reality TV,Description for Title_148
s149,Movie,Title_149,,Actor_50,United States,"April 20, 2010",2010,R,126 min,"Anime Series, Thrillers, Horror Movies",Description for Title_149
s150,Movie,Title_150,,"Actor_123, Actor_160, Actor_46, Actor_663",Japan,"January 01, 2012",1967,G,78 min,"Documentaries, Sci-Fi & Fantasy, Stand-Up Comedy",Description for Title_150
s151,TV Show,Title_151,Director_446,"Actor_620, Actor_216, Actor_147, Actor_3",Brazil,"July 05, 2021",1970,TV-Y7,7 Seasons,"Horror Movies, Documentaries, Action & Adventure",Description for Title_151
s152,Movie,Title_152,Director_377,"Actor_260, Actor_399",France,"July 04, 2017",1965,TV-MA,100 min,"Crime TV Shows, Romantic Movies, Anime Series",Description for Title_152
s153,Movie,Title_153,Director_83,"Actor_232, Actor_150, Actor_734",Brazil,"April 05, 2021",1947,TV-MA,164 min,"Anime Series, Comedies",Description for Title_153
s154,Movie,Title_154,Director_165,"Actor_445, Actor_75, Actor_484, Actor_311, Actor_368",United States,"November 15, 2015",1995,TV-MA,66 min,"International Movies, Romantic Movies, Reality TV",Description for Title_154
s155,TV Show,Title_155,Director_17,,United Kingdom,"November 14, 2014",1980,TV-PG,9 Seasons,International Movies,Description for Title_155
s156,Movie,Title_156,Director_443,Actor_516,India,"August 23, 2010",1945,R,68 min,Dramas,Description for Title_156
s157,Movie,Title_157,,"Actor_894, Actor_876, Actor_220, Actor_49",United States,"July 31, 2013",1999,TV-14,136 min,"Docuseries, Romantic Movies, Comedies",Description for Title_157
s158,TV Show,Title_158,Director_139,,Canada,"August 11, 2019",1989,PG,2 Seasons,Anime Series,Description for Title_158
s159,Movie,Title_159,,"Actor_47, Actor_318, Actor_789, Actor_151, Actor_20",Japan,"January 24, 2013",2001,TV-14,102 min,"Comedies, Docuseries",Description for Title_159
s160,TV Show,Title_160,Director_450,"Actor_495, Actor_197, Actor_893, Actor_416, Actor_206",Canada,"January 04, 2010",1967,UR,6 Seasons,"Crime TV Shows, Romantic Movies",Description for Title_160
s161,Movie,Title_161,Director_475,"Actor_219, Actor_253, Actor_745, Actor_651",Spain,"September 19, 2014",2020,TV-MA,171 min,"Thrillers, Children & Family Movies",Description for Title_161
s162,Movie,Title_162,Director_143,"Actor_911, Actor_89, Actor_742",Canada,"April 04, 2016",2018,TV-MA,175 min,International Movies,Description for Title_162
s163,Movie,Title_163,,,United States,"March 21, 2016",1981,TV-14,120 min,Sci-Fi & Fantasy,Description for Title_163
s164,Movie,Title_164,Director_187,,United States,"May 04, 2014",2018,TV-MA,63 min,"Horror Movies, International Movies, Anime Series",Description for Title_164
s165,Movie,Title_165,Director_67,,Canada,"December 17, 2018",1997,PG-13,64 min,"Anime Series, Docuseries",Description for Title_165
s166,TV Show,Title_166,Director_208,,United States,"May 02, 2014",1980,TV-MA,6 Seasons,"Reality TV, Comedies",Description for Title_166
s167,Movie,Title_167,Director_259,,United States,"August 28, 2020",1980,PG-13,151 min,"Stand-Up Comedy, Romantic Movies",Description for Title_167
s168,Movie,Title_168,Director_379,Actor_669,India,"August 29, 2016",1989,TV-MA,136 min,"Romantic Movies, Sci-Fi & Fantasy, Comedies",Description for Title_168
s169,Movie,Title_169,,"Actor_158, Actor_449, Actor_235, Actor_331",Canada,"February 01, 2017",1966,TV-MA,165 min,"Comedies, Docuseries, Stand-Up Comedy",Description for Title_169
s170,Movie,Title_170,Director_310,"Actor_567, Actor_502, Actor_597",United States,"June 23, 2017",1975,PG,172 min,Docuseries,Description for Title_170
